"Reference","Value","Footprint","Datasheet","Qty","DNP","Exclude from BOM","Exclude from Board"
"BT1","Battery20mm","Battery:Battery_Panasonic_CR2032-HFN_Horizontal_CircularHoles","~","1","","",""
"C1,C6,C7","104","Capacitor_SMD:C_1206_3216Metric","~","3","","",""
"C2","100U/50V","Capacitor_THT:C_Radial_D10.0mm_H12.5mm_P5.00mm","~","1","","",""
"C3","1000U/16V","Capacitor_THT:C_Radial_D10.0mm_H12.5mm_P5.00mm","~","1","","",""
"C4,C5","47UF/16V","Capacitor_SMD:CP_Elec_5x5.3","~","2","","",""
"C8,C9","22pF","Capacitor_SMD:C_1206_3216Metric","~","2","","",""
"C10,C11","100nF","Capacitor_SMD:C_1206_3216Metric","~","2","","",""
"C12","100uF","Capacitor_SMD:C_1206_3216Metric","~","1","","",""
"D1,D10","1N4007","Diode_SMD:D_SMA","http://www.vishay.com/docs/88503/1n4001.pdf","2","","",""
"D2","1N5822","Diode_SMD:D_SMA","http://www.vishay.com/docs/88526/1n5820.pdf","1","","",""
"D3,D4,D8,D9,D11","LED","LED_SMD:LED_0805_2012Metric","~","5","","",""
"D5,D6","6KE6.8CA","Diode_SMD:D_SMA","~","2","","",""
"D7","DF02S","Diode_SMD:Diode_Bridge_OnSemi_SDIP-4L","https://www.onsemi.com/download/data-sheet/pdf/df10s-d.pdf","1","","",""
"D12","LED1","LED_SMD:LED_0805_2012Metric","~","1","","",""
"D13","LE2","LED_SMD:LED_0805_2012Metric","~","1","","",""
"H1,H2,H3,H4","MountingHole","MountingHole:MountingHole_3mm","~","4","","Excluded from BOM",""
"J1","KEYPAD","Connector_PinHeader_2.54mm:PinHeader_1x08_P2.54mm_Vertical","~","1","","",""
"J2","UART_EnergyMeter","smart_meter:RC4","~","1","","",""
"J3","Power_IN","smart_meter:RC2","~","1","","",""
"J4","SPI_conn","smart_meter:RC8","~","1","","",""
"J5","Triac Control","smart_meter:RC8","~","1","","",""
"J6","MDB","smart_meter:MDB","","1","","",""
"J7","UART_wifi","Connector_PinHeader_2.54mm:PinHeader_1x04_P2.54mm_Vertical","~","1","","",""
"J8","USB_B","Connector_USB:USB_B_OST_USB-B1HSxx_Horizontal","~","1","","",""
"J9","RS485","smart_meter:RC2","~","1","","",""
"JP1","TX3_selector","Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical","~","1","","Excluded from BOM",""
"JP2","RX3_Selector","Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical","~","1","","Excluded from BOM",""
"JP3","RX2","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical","~","1","","",""
"JP4","TX2","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical","~","1","","",""
"JP5,JP6","USB/Button","Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical","~","2","","Excluded from BOM",""
"L1","100uH/3A","Inductor_SMD:L_12x12mm_H8mm","~","1","","",""
"R1,R2,R3","103","Resistor_SMD:R_1206_3216Metric","~","3","","",""
"R4","330","Resistor_SMD:R_1206_3216Metric","~","1","","",""
"R5,R41,R42,R43,R44","12K","Resistor_SMD:R_1206_3216Metric","~","5","","",""
"R6,R46,R47","150","Resistor_SMD:R_1206_3216Metric","~","3","","",""
"R7,R8,R32,R35,R40","4.7K","Resistor_SMD:R_1206_3216Metric","~","5","","",""
"R9,R10,R11,R12,R13,R14,R16,R17,R18,R19,R20,R22,R23,R24,R25,R26,R45,R48,R49,R50","10K","Resistor_SMD:R_1206_3216Metric","~","20","","",""
"R15,R30,R36,R37,R39","470","Resistor_SMD:R_1206_3216Metric","~","5","","",""
"R21","120","Resistor_SMD:R_1206_3216Metric","~","1","","",""
"R27","390","Resistor_SMD:R_1206_3216Metric","~","1","","",""
"R28","39","Resistor_SMD:R_1206_3216Metric","~","1","","",""
"R29","680","Resistor_SMD:R_1206_3216Metric","~","1","","",""
"R31","2K","Resistor_SMD:R_1206_3216Metric","~","1","","",""
"R33,R34","20","Resistor_SMD:R_1206_3216Metric","~","2","","",""
"R38","0","Resistor_SMD:R_1206_3216Metric","~","1","","",""
"SW1","RESET","Button_Switch_SMD:SW_Tactile_SPST_NO_Straight_CK_PTS636Sx25SMTRLFS","~","1","","",""
"SW2","Button1","Button_Switch_SMD:SW_Tactile_SPST_NO_Straight_CK_PTS636Sx25SMTRLFS","~","1","","",""
"SW3","Button2","Button_Switch_SMD:SW_Tactile_SPST_NO_Straight_CK_PTS636Sx25SMTRLFS","~","1","","",""
"SW4","KEY_flash","Button_Switch_SMD:SW_Tactile_SPST_NO_Straight_CK_PTS636Sx25SMTRLFS","~","1","","",""
"SW5","wifi_reset","Button_Switch_SMD:SW_Tactile_SPST_NO_Straight_CK_PTS636Sx25SMTRLFS","~","1","","",""
"SW6","Button3","Button_Switch_SMD:SW_Tactile_SPST_NO_Straight_CK_PTS636Sx25SMTRLFS","~","1","","",""
"SW7","Button4","Button_Switch_THT:SW_PUSH_6mm","~","1","","",""
"SW8","Button5","Button_Switch_THT:SW_PUSH_6mm","~","1","","",""
"SW9","Button6","Button_Switch_THT:SW_PUSH_6mm","~","1","","",""
"T1,T2","BCX17","smart_meter:BCX17","","2","","",""
"TH1,TH2","250-120U","Fuse:Fuse_BelFuse_0ZRE0005FF_L8.3mm_W3.8mm","~","2","","",""
"U1","AT45DB321E-SHF-T","Package_SO:SOIC-8_5.3x5.3mm_P1.27mm","","1","","",""
"U2","LM2576HVS-5","Package_TO_SOT_SMD:TO-263-5_TabPin3","http://www.ti.com/lit/ds/symlink/lm2576.pdf","1","","",""
"U3","LoRa","smart_meter:LoRa","","1","","",""
"U4","Wifi","smart_meter:wifi","","1","","",""
"U6","STM32F103C8Tx","Package_QFP:LQFP-48_7x7mm_P0.5mm","https://www.st.com/resource/en/datasheet/stm32f103c8.pdf","1","","",""
"U7","RTC_DS3234","Connector_PinSocket_2.54mm:PinSocket_1x07_P2.54mm_Vertical","~","1","","",""
"U8","DS3232SN-T&R","smart_meter:RTC_3232","DS3232SN-T&R","1","","",""
"U9","OLED","Connector_PinSocket_2.54mm:PinSocket_1x04_P2.54mm_Vertical","~","1","","",""
"U10","SP3485EN","Package_SO:SOIC-8_3.9x4.9mm_P1.27mm","http://www.icbase.com/pdf/SPX/SPX00480106.pdf","1","","",""
"U11","Debug","Connector_PinSocket_2.54mm:PinSocket_1x04_P2.54mm_Vertical","~","1","","",""
"U12","PCA9554AD_118","smart_meter:PCA955","","1","","",""
"U13","LM317DCY","smart_meter:LM3.3V","","1","","",""
"U14","ESP-12F","RF_Module:ESP-12E","http://wiki.ai-thinker.com/_media/esp8266/esp8266_series_modules_user_manual_v1.1.pdf","1","","",""
"Y1","8MHZ","Crystal:Crystal_HC18-U_Vertical","~","1","","",""
